"Metabolite","QuantMasses","e10222ch_100_c5.cdf","e10222ch_101_c6.cdf","e10222ch_102_c7.cdf","e10222ch_22_c1.cdf","e10222ch_23_c2.cdf","e10222ch_24_c3.cdf","e10222ch_25_c4.cdf","e10222ch_26_c5.cdf","e10222ch_27_c6.cdf","e10222ch_28_c7.cdf","e10222ch_59_c1.cdf","e10222ch_60_c2.cdf","e10222ch_61_c3.cdf","e10222ch_62_c4.cdf","e10222ch_63_c5.cdf","e10222ch_64_c6.cdf","e10222ch_65_c7.cdf","e10222ch_96_c1.cdf","e10222ch_97_c2.cdf","e10222ch_98_c3.cdf","e10222ch_99_c4.cdf","e10223ch_15_c8.cdf","e10223ch_16_c9.cdf","e10223ch_17_c10.cdf","e10223ch_18_c11.cdf","e10223ch_19_c12.cdf","e10223ch_20_c13.cdf","e10223ch_21_c14.cdf","e10223ch_52_c8.cdf","e10223ch_53_c9.cdf","e10223ch_54_c10.cdf","e10223ch_55_c11.cdf","e10223ch_56_c12.cdf","e10223ch_57_c13.cdf","e10223ch_58_c14.cdf","e10223ch_89_c8.cdf","e10223ch_90_c9.cdf","e10223ch_91_c10.cdf","e10223ch_92_c11.cdf","e10223ch_93_c12.cdf","e10223ch_94_c13.cdf","e10223ch_95_c14.cdf","e10224ch_104_c15.cdf","e10224ch_105_c16.cdf","e10224ch_106_c17.cdf","e10224ch_107_c18.cdf","e10224ch_108_c19.cdf","e10224ch_109_c20.cdf","e10224ch_110_c21.cdf","e10224ch_14_c15.cdf","e10224ch_15_c16.cdf","e10224ch_16_c17.cdf","e10224ch_17_c18.cdf","e10224ch_18_c19.cdf","e10224ch_19_c20.cdf","e10224ch_20_c21.cdf","e10224ch_51_c15.cdf","e10224ch_52_c16.cdf","e10224ch_53_c17.cdf","e10224ch_54_c18.cdf","e10224ch_55_c19.cdf","e10224ch_56_c20.cdf","e10224ch_57_c21.cdf","e10224ch_88_c15.cdf","e10224ch_89_c16.cdf","e10224ch_90_c17.cdf","e10224ch_91_c18.cdf","e10224ch_92_c19.cdf","e10224ch_93_c20.cdf","e10224ch_94_c21.cdf"
"Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D","100.0 99.0 89.0 174.0 115.0 177.0 ",1259004,1794522,2464782,294073,550580,799668,1097276,1104181,1518894,1803244,285217,548847,914181,1014908,1153569,1601352,2003453,331079,641596,1004620,1299213,483072,987484,1221145,1472547,1774353,1893019,2408600,544972,1059435,1483137,1612893,1950233,2018587,2523001,607974,1174787,1445097,1810559,2104621,2122286,2706186,453195,1044463,3002,1113625,1519162,1695190,2002255,267524,901389,1031684,1055116,1596322,1695939,2030291,456135,969854,1147643,1250784,1600358,1835100,2165719,385588,1045344,1113666,1262676,1559543,1698694,2010287
"Ribitol_(5TMS)_MP_RI:1716_IDENT:A+B","103.0 117.0 129.0 217.0 205.0 ",1405401,1762640,2348071,541248,708947,1335352,2306974,2058539,2104175,3084364,906077,1717276,905498,1269089,2015077,2347837,1767274,679611,1391413,1823131,1420990,1315585,1247476,983067,1078418,1084248,1818491,2304109,754387,1002070,1026821,783105,1421870,1858614,1427152,988909,923039,851626,1073800,1131198,1131021,1879337,27790900,49334062,NA,47772903,59797170,52821489,52633530,18039814,39428791,45043723,39637308,49914422,44288780,47900233,24668497,45726357,53144017,45839202,57682676,49770669,49542593,26516770,50283025,57407613,49721837,62648590,53257992,52428788
"Ribose_(1MEOX)(4TMS)_MP_RI:1672_IDENT:B+D","103.0 133.0 217.0 189.0 307.0 ",392594,461788,718137,259982,303251,337169,386676,357801,393462,590250,204657,227610,544883,389745,409104,408368,605588,160836,267566,472599,495021,175918,318807,355762,481310,493287,496436,656435,222450,350681,478003,510744,490280,554812,658764,262183,641481,451200,586214,661262,608906,760904,174587,523329,NA,475151,639488,905381,1000825,NA,401945,406429,387419,598313,780795,894259,183946,376991,480668,442259,629894,816468,945484,172659,353666,483501,366133,701096,916633,997650
"Ribose-5-phosphate_(1MEOX)(5TMS)_BP_RI:2105_IDENT:C+D","315.0 129.0 217.0 89.0 299.0 220.0 ",229371,233029,331095,91167,131403,155136,206293,203739,218399,314303,81166,146969,186807,205458,210545,253570,318644,103959,156329,NA,240792,143619,282275,205666,265651,341017,272374,383831,127708,329848,249169,324777,319933,260669,365792,157823,344281,316029,NA,381867,286128,388391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ribulose-5-phosphate_(1MEOX)(5TMS)_BP_RI:2096_IDENT:A+B","103.0 89.0 357.0 101.0 133.0 ",652840,850078,1072827,244909,354668,429335,501748,501993,549903,767645,265579,373976,478475,506605,591314,674166,842530,323495,454641,547744,646671,473457,800061,641553,763319,795903,787512,1004832,516831,909056,729353,907475,929085,858194,1428581,572132,948064,859162,1020824,996839,1406374,1516672,476893,889661,NA,1027284,1215234,1303823,1196656,343905,739001,810959,832180,1008421,1037759,1160806,443734,906572,1001976,1073024,1302593,1269119,1240134,450535,842247,1011638,1015574,1407696,1301049,1238287
"Serine_(2TMS)_BP_RI:1260_IDENT:C+D","103.0 116.0 132.0 117.0 144.0 118.0 ",455852,942605,934156,197968,141835,485150,397771,265399,569889,835923,191062,108540,362751,631469,621487,905977,783231,379213,649962,927501,423463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735702,1185955,NA,890937,1345196,1513487,1678445,449493,1534490,1402385,1159226,2455143,2210418,2567356,1284779,1202484,941174,967989,1467260,1747830,3865722,745382,1162136,1023055,863359,1197380,1469596,2117847
"Serine_(3TMS)_MP_RI:1373_IDENT:C+D","116.0 218.0 133.0 204.0 100.0 206.0 ",4117263,4616991,6884858,1905003,2643713,3094601,3103091,3241410,3420629,3755160,2309345,2779419,3459020,3415944,3262140,3680255,4889695,2442186,2765412,4494172,4490329,2153249,3643450,2959700,3863967,3891204,4360455,5335643,2428093,4278300,3986657,4920189,5596658,4884074,6053565,3209217,5334921,4843848,6720937,6461973,6171655,7311058,3779525,5734616,NA,4624847,6955463,7932495,8669908,1638068,3048368,3316034,2900261,3732969,4916179,5802320,2596063,4564092,4909441,4834193,6330798,7321681,5765994,3426203,5783754,5539768,5159373,7257352,7695975,7734461
"Sorbitol_(6TMS)_MP_RI:1926_IDENT:A+D","205.0 217.0 129.0 103.0 117.0 207.0 220.0 132.0 104.0 119.0 ",7991569,10698225,13302973,5341631,5731731,6558671,7394664,7336230,8686827,10667781,5532883,5958644,6849533,7732660,7920795,9649489,11096749,6236546,6612404,7670119,8925162,5623931,7124419,7312294,8460983,8954958,10058940,11569352,6340409,7999794,8417497,9459025,10078390,11020140,11965522,6975768,8658952,9447357,10282201,11471314,12233433,14458018,4706005,9401309,NA,11483809,11770694,13854650,13294222,3463341,7557334,8944733,9627436,10986848,12266561,16324380,4638948,9377008,11087772,12679573,14267398,14916957,14043187,4490181,8814928,11120181,12509340,13938823,14597913,13580928
"Spermidine_(4TMS)_BP_RI:2189_IDENT:A+C","86.0 100.0 200.0 174.0 201.0 ",40235,38971,183407,59193,31357,30816,53339,9468,16352,24911,309243,94862,140052,NA,29118,30017,54038,431065,106636,272780,59751,237708,108447,26610,34055,44659,111337,74560,487077,359338,117560,71851,135125,194594,291644,735872,456023,172710,217121,327178,449375,689692,709421,457010,NA,454799,808051,673720,348390,265088,NA,29149,37563,132661,232285,161754,370931,148534,69638,224597,526645,514040,135435,538829,317715,211922,357834,805994,560735,395200
"Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D","149.0 247.0 129.0 133.0 172.0 249.0 251.0 ",594342,763789,1158391,561015,512415,605109,582889,576067,700300,968846,569746,487373,594498,591601,558948,725301,1075369,628762,568620,810802,657091,477214,641697,495874,593149,615088,723150,913516,511315,650228,593895,659418,694223,804611,1003701,640066,805316,613557,800139,813427,852737,1026007,481589,797164,62262,759982,1149000,1328298,1322489,285122,700017,719753,732851,1138831,1284640,1317149,457565,734780,785799,874663,1179106,1416126,1401113,449416,825569,810944,849564,1206589,1351736,1279424
"Sucrose_(8TMS)_MP_RI:2632_IDENT:A+C","169.0 103.0 217.0 129.0 361.0 220.0 174.0 104.0 132.0 367.0 ",729948,927218,1122162,567790,570091,791882,693018,830150,816495,995096,616596,559793,696302,696310,684120,841166,1140475,776926,671820,957493,740925,678623,810887,1209786,997343,969026,1529438,1086634,797244,889264,1432494,931603,1058192,1273571,1348345,787568,944345,1381895,1433618,1214124,1726535,1278759,1742262,1685524,NA,1145256,1281029,1662519,1375850,1373276,1722734,1105360,1036729,1085631,1640726,1285996,1746776,1550178,1329846,1702187,1477448,1518654,1628739,1812279,1623584,1442042,1212571,1377592,1589663,1403346
"Threonine_(2TMS)_BP_RI:1303_IDENT:C+D","146.0 87.0 130.0 117.0 131.0 ",7674350,12126249,11324623,3657854,4483783,6914160,7985966,5916278,9128489,9066635,3683035,3754405,5979980,9426884,6846645,10482240,9115541,5289263,6185892,14669251,8559630,3612625,8126284,6809508,7457004,9293416,7836519,8702804,4543579,6715213,11287586,8761843,10367947,10029589,9712739,6459897,12514937,10151416,16884359,16909539,10505631,10788322,3667930,7215010,NA,6207487,8003771,7521879,6156435,1749733,9991542,9690926,8894055,13604946,11187878,8207451,5929040,7910393,7025374,7622247,9784245,9216903,10870423,3275509,6736761,6867822,6056923,7830229,7449992,6337113
"Threonine_(3TMS)_MP_RI:1397_IDENT:C+D","218.0 117.0 101.0 100.0 219.0 ",38610184,36295006,42651597,21348304,33527502,44054888,42988778,36770827,35259890,33320795,22096372,33958375,45048952,43970200,35304408,34235524,39847811,22921323,35748029,50971730,52289364,23085644,45598983,34017350,44806424,41810175,42332974,36748968,23958805,51011713,39064524,48276737,51901063,41449542,39742964,26015643,54877589,43526086,49618377,47640024,46621030,42835080,17852632,29436834,11766,26546812,33128025,32464391,22567284,9424594,16753905,19137338,18438449,21485212,22696897,18278460,12861668,25826422,29641644,27832965,33187906,31539138,15802374,16378984,30070953,30773253,29199412,34663930,31059288,20097485
"Thymine_(2TMS)_MP_RI:1410_IDENT:B+D","270.0 256.0 255.0 113.0 100.0 ",169011,243537,291292,85397,70343,92355,89558,78260,97535,132640,NA,121687,170561,123574,105830,179299,162649,92294,158563,268364,203472,81196,162252,103580,146857,159220,176661,240992,NA,245077,238751,169924,230811,204579,280560,NA,278784,275707,273871,303930,297567,352257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyrosine_(3TMS)_MP_RI:1933_IDENT:B+D","218.0 100.0 179.0 219.0 220.0 ",1940208,3434471,6021461,57197,71151,101171,144049,139836,178714,227239,99072,159096,3651901,162152,273998,587618,419088,1087805,3420640,809331,3810356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294198,498325,NA,793758,788650,1008496,686894,297764,109098,123371,197001,343387,352844,598135,125396,277177,229457,377677,538042,681628,626682,241453,262012,341776,637434,977233,968585,678738
"Uracil_(2TMS)_MP_RI:1350_IDENT:A+C","126.0 100.0 99.0 113.0 241.0 ",3599113,3828094,4817945,1030645,2109549,3078628,2112719,2329832,2379996,2924457,1198513,2661950,2484997,3209414,2853553,4814398,5276812,1566326,2890810,4057757,3954771,NA,NA,NA,NA,NA,NA,NA,NA,2760276,3263419,4276135,NA,NA,3559305,NA,1909348,2151538,3271424,3298974,3914698,3868778,1827183,2348421,NA,2197440,2556708,2912158,2750775,NA,NA,NA,NA,1708617,2090147,2143923,NA,2670070,2023690,2213389,2230032,2566015,2120145,1014816,1628963,3756629,2319966,2731057,2599499,2261760
"Urea_(2TMS)_MP_RI:1249_IDENT:A+C","189.0 87.0 171.0 99.0 100.0 ",4372037,5054187,6181573,2939609,3058139,5074653,3876337,4008283,4707685,5180686,3044388,3322222,5517240,4006058,4215035,5269470,5803927,3216292,3707944,6222046,4368165,3177599,4471921,3661608,4021288,4628629,6467013,5252310,3422399,4831605,4450228,4455955,5378055,6827472,5742071,3772716,5263189,4515149,5046391,5786772,7584917,6058148,3134007,5174760,NA,4951653,6613540,7582096,5385605,1971976,5518080,4574190,4607440,5552710,6956611,5183176,2568996,4730276,5195214,5348706,6190516,7439977,4896612,NA,4988042,5465335,NA,6484777,7472622,NA
"Uridine 5'-monophosphate_(5TMS)_MP_RI:2878_IDENT:B+C","315.0 211.0 169.0 299.0 129.0 ",2493441,3559598,7265193,217559,142450,138524,444693,213605,317355,441051,323821,NA,2014599,1229798,1323653,2212426,3633455,329612,1783782,1049635,2929312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130082,NA,NA,NA,NA,NA,NA,NA,49189,NA,82914,83629,235650,NA,NA,NA,NA,NA,NA,NA,NA
"Uridine 5'-monophosphate_(5TMS)_SP_RI:2881_GMDpred","133.0 211.0 315.0 169.0 299.0 ",2265857,NA,5884223,81270,173761,130694,282697,161144,234749,424023,114421,1128889,1658007,962711,1095413,1741733,2867771,286926,NA,845207,NA,93877,146049,280041,422032,515997,2048337,2690489,96471,547904,1106793,1617633,1752582,2073138,2744050,80266,598727,1205795,2224096,1903538,2084690,2721424,9053,17592,NA,30511,46618,69922,30875,117682,16926,14114,15818,21828,77357,163139,6651,39613,47021,96029,154436,204795,75289,26611,10677,18320,16793,30524,88341,48164
"Valine_(1TMS)_BP_RI:1084_IDENT:B+D","130.0 87.0 103.0 156.0 146.0 ",513321,736127,717922,346985,388633,486649,581091,427766,508802,508504,320118,352199,367824,498050,364611,563178,676685,435971,311085,957262,606892,462979,676897,541114,626620,645044,635755,773696,511777,619967,704122,643132,776114,704631,764072,614583,905760,794665,905835,940134,721676,779511,517902,906543,NA,840330,972525,949692,930460,129475,875085,923193,809471,1241517,1275040,1021725,670746,847111,879759,885615,1082502,1001319,1154629,560374,946085,913914,865657,1040638,912556,855206
"Valine_(2TMS)_MP_RI:1212_IDENT:B+D","146.0 145.0 144.0 218.0 100.0 ",8071357,9126132,10834343,6834573,7273138,9193466,9196047,7874911,9049106,9294853,7108853,7087282,9736282,9624282,8118499,9180919,9342353,7173426,9073298,10910346,9616437,7824899,11420620,8764965,9745285,9518101,9604145,9485261,8120803,11819542,10673019,10586204,10631892,9757736,9902439,9561365,13093949,10579431,12078355,11104773,10888787,10697401,6384026,10105468,34449,8922046,10529362,10047718,7866753,4978272,7921685,9255985,8259083,9326479,9041220,7210117,5510176,9465971,11022872,10674187,11953892,10782528,6987986,5919133,9958434,10475821,9842793,11025907,10162340,7301503
"Xylose_(1MEOX)(4TMS)_BP_RI:1642_IDENT:A+C","117.0 103.0 217.0 89.0 133.0 ",208320,173765,228968,381688,368738,219492,366693,302633,292213,315137,404781,361969,243753,370040,287864,349792,263028,456513,328453,448142,372419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xylose_(1MEOX)(4TMS)_MP_RI:1651_IDENT:A+C","217.0 103.0 133.0 89.0 307.0 ",108424,127607,160363,94667,70028,61235,119635,137553,153484,189244,97970,91741,67611,112578,154277,178884,131564,125005,86030,136498,163572,37730,158902,127888,169555,174677,223319,298358,101770,216698,105313,133171,166883,204020,292606,69749,153582,195659,166033,163622,162147,224080,90129,169414,NA,216861,221694,249349,220606,92025,152893,173067,192559,243739,267669,192674,76636,174329,187476,175383,234551,195189,271746,147207,NA,175004,171335,243837,258060,221254
"Aconitic acid_ cis-_(3TMS)_MP_RI:1747_IDENT:A+D","97.0 133.0 211.0 229.0 149.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79048,NA,NA,71330,82058,88439,127226,70888,NA,53111,64206,75460,81107,124167,67120,NA,48872,78477,83178,92995,137994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenine_(2TMS)_MP_RI:1866_IDENT:C+D","192.0 265.0 99.0 264.0 279.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278253,401895,335170,322220,695488,613229,715156,496829,829404,843847,958815,936049,782345,1044573,754224,1260320,1195544,1388186,1452504,1398413,1775695,322463,1160883,NA,1639406,2028653,1846025,862431,262321,481875,510026,918574,1141378,870471,803040,325614,894239,1075353,1329438,1809376,1503899,657400,372110,1102655,1318132,1625995,2105125,1664560,863318
"Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C","117.0 116.0 100.0 130.0 160.0 163.0 132.0 102.0 118.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7171617,7812014,5961506,4878390,4869581,3203039,2955261,6545312,6462405,5030139,4795517,4109301,3439216,3023468,6582197,6406854,5973338,5232502,4958667,3883190,3081522,3041953,6782738,NA,3442747,3870153,1557356,2774138,2431649,7853035,5577688,4046426,5620005,3663483,2799157,6738820,5824141,4090309,3098929,3621440,2989476,3285520,4996658,3984672,4710426,3527149,3707716,NA,2763925
"Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C","233.0 100.0 218.0 232.0 117.0 220.0 235.0 119.0 102.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18602606,NA,NA,11705629,9385115,5734890,NA,23411431,26260116,NA,14805543,13892209,6514041,NA,30429528,34254121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B","133.0 117.0 129.0 103.0 217.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,942990,NA,NA,1188046,NA,1185692,NA,NA,1299908,1276098,1202581,1340591,1255520,NA,NA,1649062,NA,1415240,1532883,1313403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fructose_(1MEOX)(5TMS)_BP_RI:1872_IDENT:B+C","217.0 133.0 117.0 89.0 103.0 220.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2290272,2401578,2017137,2190245,2010707,2107849,3299561,2316233,2449916,2068872,2048826,1933926,2133019,3409554,2524102,2519997,2181576,2269225,2181692,2349793,3745523,1970255,3651922,NA,3860141,4845720,4285780,4827431,1614384,2966062,3505379,3375914,4265941,3812689,5071119,1967982,3498153,4148375,4097573,5267858,4486294,5187372,1961407,3465702,4132484,3911228,5251613,4431507,5133825
"Glucosamine_(1MEOX)(5TMS)_MP_RI:1932_IDENT:A+B","103.0 117.0 159.0 205.0 129.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109172,255925,164224,339925,289224,353239,487230,119870,275196,218897,233616,277945,513545,656158,135641,197141,242537,272218,285752,369665,492983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B","174.0 156.0 158.0 140.0 186.0 178.0 162.0 144.0 191.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26388036,37534342,32641211,30282852,35552992,25939424,24846677,24013689,32439830,27014623,29098183,31148388,28552124,25148875,23637136,34737929,31278123,29812894,34431821,29718572,24358028,31266784,28810179,NA,25416078,31163463,38124040,21698559,17160645,37461420,41004288,38592367,56869231,32132276,20762120,14458877,36965785,40090216,17981912,49012551,31479960,20917727,25914374,51458653,31456897,27943049,59877053,39832815,21814196
"Glyceric acid-2-phosphate_(4TMS)_SP_RI:1766_GMDpred","211.0 217.0 315.0 299.0 369.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115834,213572,129504,163484,165401,153333,NA,151796,255896,175531,208579,100128,NA,NA,158155,309162,217997,264761,255438,314431,502774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Homocysteine_(2TMS)_SP_RI:1583_GMDpred","189.0 173.0 119.0 100.0 162.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198284,1928668,1108594,1322453,1288910,1246026,1187548,1164120,2898348,1230345,1912231,1830565,1310708,2017863,1349591,3057109,2450358,2487660,2332070,2106866,2672340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Methionine_(2TMS)_MP_RI:1516_IDENT:C+D","128.0 177.0 100.0 129.0 176.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11133227,9527635,6540343,9289138,8373817,6722710,5636216,13147227,16580256,9681502,11559145,11539117,7614726,7204595,17015275,20982714,11255354,10609852,9398640,9148367,8631859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Noradrenaline_(5TMS)_SP_RI:2148_GMDpred","86.0 176.0 174.0 355.0 175.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184378,256272,239245,224171,258466,229053,276948,238528,320445,332206,397700,389918,295116,389824,264503,381784,422537,435638,436667,401354,494654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ribulose-5-phosphate_(1MEOX)(5TMS)_MP_RI:2112_IDENT:A+B","103.0 357.0 101.0 89.0 133.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83126,NA,62388,71030,104560,161516,NA,107117,133681,121287,159632,179184,137883,NA,104265,127601,200018,144693,159283,95309,321104,NA,NA,468476,1303113,NA,1247261,202624,697546,NA,759403,NA,NA,NA,264705,920257,NA,NA,NA,NA,1517434,NA,825051,929625,984646,1647336,NA,1411811
"Acetoacetic acid_(2TMS)_MP_RI:1239_GMDpred","99.0 157.0 231.0 149.0 133.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153202,651141,NA,399526,1106686,905874,792913,87804,305984,251426,395822,742026,NA,NA,332668,555977,757476,565057,584345,921083,NA,569357,438956,864079,647941,881650,1114103,805611
"Glucuronic acid_(1MEOX)(5TMS)_BP_RI:1944_IDENT:A+C","333.0 160.0 133.0 89.0 103.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199500,777691,NA,984100,2998123,2833557,2387104,NA,955768,NA,NA,NA,NA,3936647,130106,1086124,1497250,1719488,1250107,2230058,5618475,311785,969933,1737389,1892228,3122281,2875107,4168332
"Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:1577_IDENT:A+D","157.0 149.0 247.0 203.0 129.0 251.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200188,758943,NA,482942,803218,578394,302598,380186,718970,450224,716426,511420,477290,318773,252257,498954,548733,583736,923858,551762,329422,243137,NA,682353,641101,1127070,504619,289677
"Pyridine_ 2-hydroxy-_(1TMS)_SP_RI:1032_GMDpred","122.0 166.0 153.0 167.0 152.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212476,425597,NA,342554,460350,405248,351434,132303,209019,222954,174708,224457,191917,191920,161785,366219,354688,350176,401740,319207,299017,231956,438675,467394,368988,494872,400450,353653
"Ribulose_(1MEOX)(4TMS)_MP_RI:1667_GMDpred","173.0 205.0 103.0 89.0 117.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387367,564594,NA,493289,473032,613356,345595,238697,453738,390069,405230,498407,444963,388847,257123,564972,543202,616479,643214,610306,331138,327583,665743,480439,531582,525244,509522,338180
"Uridine_(3TMS)_MP_RI:2469_IDENT:A+D","99.0 103.0 169.0 217.0 129.0 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78244,130018,NA,138058,194851,201607,NA,NA,NA,124510,111576,139373,238577,NA,NA,139342,156979,172839,228473,231815,NA,NA,NA,142981,162428,418252,NA,NA
