"Lettercode","Metabolite","Letter_Derivate","Quant_ext","Batch_Id","Dilution","ChromIntensities","Concentration","Origin"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.005,2196023,416.3,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.01,2744321,832.6,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.2,78526113,16652,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",1,1121653109,83260,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.02,7473059,1665.2,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.05,28140107,4163,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.5,430631035,41630,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.1,34918046,8326,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",0.2,78526113,16652,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",1,1121653109,83260,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",0.02,7473059,1665.2,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",0.05,28140107,4163,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",0.5,430631035,41630,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",0.1,34918046,8326,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18061cz",0.2,78526113,16652,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18061cz",1,1121653109,83260,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18061cz",0.02,7473059,1665.2,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18061cz",0.05,28140107,4163,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18061cz",0.5,430631035,41630,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",0.005,2196023,416.3,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",0.01,2744321,832.6,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18061cz",0.005,2196023,416.3,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18061cz",0.01,2744321,832.6,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18061cz",0.1,34918046,8326,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18060cz",1,177730147,83260,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18057cz",0.02,1264498,1665.2,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18057cz",0.1,7243701,8326,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18057cz",0.01,479254,832.6,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18057cz",0.2,11650038,16652,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18057cz",0.05,4998351,4163,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18057cz",0.5,57361371,41630,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18060cz",0.02,1264498,1665.2,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18060cz",0.1,7243701,8326,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18060cz",0.01,479254,832.6,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18060cz",0.2,11650038,16652,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18060cz",0.05,4998351,4163,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18057cz",1,177730147,83260,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18061cz",0.02,1264498,1665.2,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18061cz",0.1,7243701,8326,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18061cz",0.01,479254,832.6,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18061cz",0.2,11650038,16652,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18061cz",0.05,4998351,4163,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18061cz",0.5,57361371,41630,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18061cz",1,177730147,83260,"Qadd"
"Ita","Itaconic acid_(2TMS)","Ita",83260,"e18060cz",0.5,57361371,41630,"Qadd"
"PGA6","Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D","PGA6",14620,"e18061cz",1,46330343,14620,"Qadd"
"PGA6","Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D","PGA6",14620,"e18061cz",0.5,20513776,7310,"Qadd"
"PGA6","Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D","PGA6",14620,"e18061cz",0.2,9249376,2924,"Qadd"
"PGA6","Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D","PGA6",14620,"e18061cz",0.1,8738943,1462,"Qadd"
"PGA6","Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D","PGA6",14620,"e18060cz",0.2,9249376,2924,"Qadd"
"PGA6","Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D","PGA6",14620,"e18057cz",1,46330343,14620,"Qadd"
"PGA6","Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D","PGA6",14620,"e18057cz",0.5,20513776,7310,"Qadd"
"PGA6","Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D","PGA6",14620,"e18057cz",0.2,9249376,2924,"Qadd"
"PGA6","Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D","PGA6",14620,"e18060cz",0.5,20513776,7310,"Qadd"
"PGA6","Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D","PGA6",14620,"e18057cz",0.1,8738943,1462,"Qadd"
"PGA6","Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D","PGA6",14620,"e18060cz",1,46330343,14620,"Qadd"
"PGA6","Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D","PGA6",14620,"e18060cz",0.1,8738943,1462,"Qadd"
