"file","metabolite","quantMasses","intensity","rt","ri"
"e18057cz_7_wash.cdf","c10","71;85;99",143778099,409.8,1000
"e18057cz_7_wash.cdf","c12","71;85;99",100256649,711.4,1200
"e18057cz_7_wash.cdf","c15","71;85;99",143633257,1114.6,1500
"e18057cz_7_wash.cdf","c17","71;85;99",154066425,1322.4,1700
"e18057cz_7_wash.cdf","c19","71;85;99",141762509,1499.2,1900
"e18057cz_7_wash.cdf","c22","71;85;99",138715743,1682.8,2200
"e18057cz_7_wash.cdf","c28","71;85;99",113608174,1933.6,2800
"e18057cz_7_wash.cdf","c32","71;85;99",96464353,2068,3200
"e18057cz_7_wash.cdf","c36","71;85;99",85106608,2252,3600
"e18057cz_10_Quant1_50.cdf","c10","71;85;99",158665539,410.2,1000
"e18057cz_10_Quant1_50.cdf","c12","71;85;99",117343537,711.4,1200
"e18057cz_10_Quant1_50.cdf","c15","71;85;99",165470491,1114.6,1500
"e18057cz_10_Quant1_50.cdf","c17","71;85;99",178289657,1322.4,1700
"e18057cz_10_Quant1_50.cdf","c19","71;85;99",165948316,1499.4,1900
"e18057cz_10_Quant1_50.cdf","c22","71;85;99",160144603,1682.8,2200
"e18057cz_10_Quant1_50.cdf","c28","71;85;99",129927169,1933.6,2800
"e18057cz_10_Quant1_50.cdf","c32","71;85;99",110759395,2068,3200
"e18057cz_10_Quant1_50.cdf","c36","71;85;99",97944862,2252,3600
"e18057cz_11_Quant1_20.cdf","c10","71;85;99",157017919,409.6,1000
"e18057cz_11_Quant1_20.cdf","c12","71;85;99",119235684,711.2,1200
"e18057cz_11_Quant1_20.cdf","c15","71;85;99",165375838,1114.6,1500
"e18057cz_11_Quant1_20.cdf","c17","71;85;99",180393103,1322.4,1700
"e18057cz_11_Quant1_20.cdf","c19","71;85;99",172904851,1499.2,1900
"e18057cz_11_Quant1_20.cdf","c22","71;85;99",161646602,1682.8,2200
"e18057cz_11_Quant1_20.cdf","c28","71;85;99",130322364,1933.4,2800
"e18057cz_11_Quant1_20.cdf","c32","71;85;99",110683110,2068,3200
"e18057cz_11_Quant1_20.cdf","c36","71;85;99",96625723,2251.8,3600
"e18057cz_12_Quant1_10.cdf","c10","71;85;99",147070780,409.4,1000
"e18057cz_12_Quant1_10.cdf","c12","71;85;99",109473414,710.6,1200
"e18057cz_12_Quant1_10.cdf","c15","71;85;99",151792314,1113.8,1500
"e18057cz_12_Quant1_10.cdf","c17","71;85;99",171576186,1321.6,1700
"e18057cz_12_Quant1_10.cdf","c19","71;85;99",168096472,1498.4,1900
"e18057cz_12_Quant1_10.cdf","c22","71;85;99",154049761,1682,2200
"e18057cz_12_Quant1_10.cdf","c28","71;85;99",123545932,1933,2800
"e18057cz_12_Quant1_10.cdf","c32","71;85;99",104156646,2067.4,3200
"e18057cz_12_Quant1_10.cdf","c36","71;85;99",90887470,2250.4,3600
"e18057cz_13_Quant1_5.cdf","c10","71;85;99",160824894,409.8,1000
"e18057cz_13_Quant1_5.cdf","c12","71;85;99",122221171,710.8,1200
"e18057cz_13_Quant1_5.cdf","c15","71;85;99",177116013,1114,1500
"e18057cz_13_Quant1_5.cdf","c17","71;85;99",195025458,1321.6,1700
"e18057cz_13_Quant1_5.cdf","c19","71;85;99",197990686,1498.4,1900
"e18057cz_13_Quant1_5.cdf","c22","71;85;99",176569622,1682,2200
"e18057cz_13_Quant1_5.cdf","c28","71;85;99",142149686,1933,2800
"e18057cz_13_Quant1_5.cdf","c32","71;85;99",118509000,2067.6,3200
"e18057cz_13_Quant1_5.cdf","c36","71;85;99",102770453,2250.6,3600
"e18057cz_14_Quant1_2.cdf","c10","71;85;99",163579795,409.8,1000
"e18057cz_14_Quant1_2.cdf","c12","71;85;99",127912774,710.8,1200
"e18057cz_14_Quant1_2.cdf","c15","71;85;99",194541282,1113.8,1500
"e18057cz_14_Quant1_2.cdf","c17","71;85;99",214824475,1321.4,1700
"e18057cz_14_Quant1_2.cdf","c19","71;85;99",213966771,1498.2,1900
"e18057cz_14_Quant1_2.cdf","c22","71;85;99",192873982,1681.8,2200
"e18057cz_14_Quant1_2.cdf","c28","71;85;99",157245732,1933,2800
"e18057cz_14_Quant1_2.cdf","c32","71;85;99",130585600,2067.4,3200
"e18057cz_14_Quant1_2.cdf","c36","71;85;99",112322976,2250.6,3600
"e18057cz_15_Quant1_1.cdf","c10","71;85;99",153918619,409.4,1000
"e18057cz_15_Quant1_1.cdf","c12","71;85;99",114896179,711,1200
"e18057cz_15_Quant1_1.cdf","c15","71;85;99",175374136,1114.4,1500
"e18057cz_15_Quant1_1.cdf","c17","71;85;99",202849764,1322.4,1700
"e18057cz_15_Quant1_1.cdf","c19","71;85;99",188897749,1499.2,1900
"e18057cz_15_Quant1_1.cdf","c22","71;85;99",171854570,1682.6,2200
"e18057cz_15_Quant1_1.cdf","c28","71;85;99",141889640,1933.6,2800
"e18057cz_15_Quant1_1.cdf","c32","71;85;99",123133359,2068,3200
"e18057cz_15_Quant1_1.cdf","c36","71;85;99",106502708,2251.8,3600
"e18057cz_8_Quant1_200.cdf","c10","71;85;99",158442998,409.6,1000
"e18057cz_8_Quant1_200.cdf","c12","71;85;99",117800140,711.2,1200
"e18057cz_8_Quant1_200.cdf","c15","71;85;99",162947076,1114.8,1500
"e18057cz_8_Quant1_200.cdf","c17","71;85;99",174836247,1322.6,1700
"e18057cz_8_Quant1_200.cdf","c19","71;85;99",160173187,1499.4,1900
"e18057cz_8_Quant1_200.cdf","c22","71;85;99",156505116,1683,2200
"e18057cz_8_Quant1_200.cdf","c28","71;85;99",127207945,1933.6,2800
"e18057cz_8_Quant1_200.cdf","c32","71;85;99",107729050,2068,3200
"e18057cz_8_Quant1_200.cdf","c36","71;85;99",94900436,2252.2,3600
"e18057cz_9_Quant1_100.cdf","c10","71;85;99",158134386,410,1000
"e18057cz_9_Quant1_100.cdf","c12","71;85;99",117139663,711.2,1200
"e18057cz_9_Quant1_100.cdf","c15","71;85;99",164859691,1114.6,1500
"e18057cz_9_Quant1_100.cdf","c17","71;85;99",179201302,1322.4,1700
"e18057cz_9_Quant1_100.cdf","c19","71;85;99",164642558,1499.4,1900
"e18057cz_9_Quant1_100.cdf","c22","71;85;99",160693694,1682.8,2200
"e18057cz_9_Quant1_100.cdf","c28","71;85;99",130920577,1933.4,2800
"e18057cz_9_Quant1_100.cdf","c32","71;85;99",111159280,2068,3200
"e18057cz_9_Quant1_100.cdf","c36","71;85;99",97368329,2252,3600
"e18057cz_3_IdentA.cdf","c10","71;85;99",171487749,410,1000
"e18057cz_3_IdentA.cdf","c12","71;85;99",118836300,711.4,1200
"e18057cz_3_IdentA.cdf","c15","71;85;99",170362854,1114.6,1500
"e18057cz_3_IdentA.cdf","c17","71;85;99",185407885,1322.4,1700
"e18057cz_3_IdentA.cdf","c19","71;85;99",174946845,1499.2,1900
"e18057cz_3_IdentA.cdf","c22","71;85;99",170745778,1682.8,2200
"e18057cz_3_IdentA.cdf","c28","71;85;99",140390745,1933.6,2800
"e18057cz_3_IdentA.cdf","c32","71;85;99",116625829,2068,3200
"e18057cz_3_IdentA.cdf","c36","71;85;99",101375708,2252,3600
"e18057cz_4_IdentB.cdf","c10","71;85;99",153756091,409.6,1000
"e18057cz_4_IdentB.cdf","c12","71;85;99",114517980,711.2,1200
"e18057cz_4_IdentB.cdf","c15","71;85;99",202323565,1114.6,1500
"e18057cz_4_IdentB.cdf","c17","71;85;99",191622703,1322.4,1700
"e18057cz_4_IdentB.cdf","c19","71;85;99",186720758,1499.2,1900
"e18057cz_4_IdentB.cdf","c22","71;85;99",172087041,1682.8,2200
"e18057cz_4_IdentB.cdf","c28","71;85;99",140364364,1933.4,2800
"e18057cz_4_IdentB.cdf","c32","71;85;99",116399316,2068,3200
"e18057cz_4_IdentB.cdf","c36","71;85;99",101563207,2252,3600
"e18057cz_5_IdentC.cdf","c10","71;85;99",152563384,409.8,1000
"e18057cz_5_IdentC.cdf","c12","71;85;99",113328410,711.2,1200
"e18057cz_5_IdentC.cdf","c15","71;85;99",197660052,1114.6,1500
"e18057cz_5_IdentC.cdf","c17","71;85;99",186103835,1322.4,1700
"e18057cz_5_IdentC.cdf","c19","71;85;99",171776587,1499.2,1900
"e18057cz_5_IdentC.cdf","c22","71;85;99",165661079,1682.8,2200
"e18057cz_5_IdentC.cdf","c28","71;85;99",136256036,1933.6,2800
"e18057cz_5_IdentC.cdf","c32","71;85;99",113296786,2068,3200
"e18057cz_5_IdentC.cdf","c36","71;85;99",97949754,2251.8,3600
"e18057cz_6_IdentD.cdf","c10","71;85;99",157397508,409.8,1000
"e18057cz_6_IdentD.cdf","c12","71;85;99",115749652,711.2,1200
"e18057cz_6_IdentD.cdf","c15","71;85;99",165351640,1114.6,1500
"e18057cz_6_IdentD.cdf","c17","71;85;99",180205045,1322.4,1700
"e18057cz_6_IdentD.cdf","c19","71;85;99",173266836,1499.4,1900
"e18057cz_6_IdentD.cdf","c22","71;85;99",164180750,1683,2200
"e18057cz_6_IdentD.cdf","c28","71;85;99",133756256,1933.6,2800
"e18057cz_6_IdentD.cdf","c32","71;85;99",111827633,2068,3200
"e18057cz_6_IdentD.cdf","c36","71;85;99",97503358,2252,3600
"e18057cz_17.cdf","c10","71;85;99",150341161,409.4,1000
"e18057cz_17.cdf","c12","71;85;99",114520104,711,1200
"e18057cz_17.cdf","c15","71;85;99",148168982,1114.4,1500
"e18057cz_17.cdf","c17","71;85;99",174589960,1322.2,1700
"e18057cz_17.cdf","c19","71;85;99",186709914,1499.4,1900
"e18057cz_17.cdf","c22","71;85;99",150047853,1682.6,2200
"e18057cz_17.cdf","c28","71;85;99",137495936,1933.4,2800
"e18057cz_17.cdf","c32","71;85;99",110382611,2068,3200
"e18057cz_17.cdf","c36","71;85;99",92063283,2251.8,3600
"e18057cz_18.cdf","c10","71;85;99",163807361,409.6,1000
"e18057cz_18.cdf","c12","71;85;99",120689655,710.6,1200
"e18057cz_18.cdf","c15","71;85;99",165953830,1113.6,1500
"e18057cz_18.cdf","c17","71;85;99",188743026,1321.2,1700
"e18057cz_18.cdf","c19","71;85;99",215591687,1498.2,1900
"e18057cz_18.cdf","c22","71;85;99",173399200,1681.8,2200
"e18057cz_18.cdf","c28","71;85;99",149857450,1932.8,2800
"e18057cz_18.cdf","c32","71;85;99",120697375,2067.2,3200
"e18057cz_18.cdf","c36","71;85;99",101462632,2250.2,3600
"e18057cz_19.cdf","c10","71;85;99",166552540,409.6,1000
"e18057cz_19.cdf","c12","71;85;99",124902122,710.6,1200
"e18057cz_19.cdf","c15","71;85;99",172424535,1113.8,1500
"e18057cz_19.cdf","c17","71;85;99",193310182,1321.4,1700
"e18057cz_19.cdf","c19","71;85;99",216313028,1498.6,1900
"e18057cz_19.cdf","c22","71;85;99",186192024,1682,2200
"e18057cz_19.cdf","c28","71;85;99",151516918,1933,2800
"e18057cz_19.cdf","c32","71;85;99",123647599,2067.4,3200
"e18057cz_19.cdf","c36","71;85;99",102971829,2250.6,3600
"e18057cz_20.cdf","c10","71;85;99",168407426,409.8,1000
"e18057cz_20.cdf","c12","71;85;99",125511960,711,1200
"e18057cz_20.cdf","c15","71;85;99",174975843,1114.2,1500
"e18057cz_20.cdf","c17","71;85;99",189088636,1322,1700
"e18057cz_20.cdf","c19","71;85;99",225418505,1499.2,1900
"e18057cz_20.cdf","c22","71;85;99",186982666,1682.4,2200
"e18057cz_20.cdf","c28","71;85;99",159527092,1933.4,2800
"e18057cz_20.cdf","c32","71;85;99",127869139,2067.8,3200
"e18057cz_20.cdf","c36","71;85;99",105375376,2251.4,3600
"e18057cz_21.cdf","c10","71;85;99",170910071,409.6,1000
"e18057cz_21.cdf","c12","71;85;99",123715802,710.6,1200
"e18057cz_21.cdf","c15","71;85;99",174633793,1113.8,1500
"e18057cz_21.cdf","c17","71;85;99",211576394,1321,1700
"e18057cz_21.cdf","c19","71;85;99",245979578,1498.4,1900
"e18057cz_21.cdf","c22","71;85;99",192446492,1681.6,2200
"e18057cz_21.cdf","c28","71;85;99",157068829,1932.6,2800
"e18057cz_21.cdf","c32","71;85;99",126668624,2067.2,3200
"e18057cz_21.cdf","c36","71;85;99",104706942,2250.2,3600
"e18057cz_22.cdf","c10","71;85;99",171416459,409.6,1000
"e18057cz_22.cdf","c12","71;85;99",120201788,710.6,1200
"e18057cz_22.cdf","c15","71;85;99",156928616,1113.6,1500
"e18057cz_22.cdf","c17","71;85;99",166009800,1321.2,1700
"e18057cz_22.cdf","c19","71;85;99",165057420,1498,1900
"e18057cz_22.cdf","c22","71;85;99",150048682,1681.8,2200
"e18057cz_22.cdf","c28","71;85;99",126897966,1932.6,2800
"e18057cz_22.cdf","c32","71;85;99",111466392,2067,3200
"e18057cz_22.cdf","c36","71;85;99",110184814,2249.8,3600
"e18057cz_24.cdf","c10","71;85;99",168521801,409.8,1000
"e18057cz_24.cdf","c12","71;85;99",133582462,711.2,1200
"e18057cz_24.cdf","c15","71;85;99",175061838,1114.6,1500
"e18057cz_24.cdf","c17","71;85;99",201964297,1322.4,1700
"e18057cz_24.cdf","c19","71;85;99",224194229,1499.4,1900
"e18057cz_24.cdf","c22","71;85;99",192304860,1682.8,2200
"e18057cz_24.cdf","c28","71;85;99",168413560,1933.4,2800
"e18057cz_24.cdf","c32","71;85;99",134915593,2067.6,3200
"e18057cz_24.cdf","c36","71;85;99",111357522,2251.4,3600
"e18057cz_25.cdf","c10","71;85;99",165693165,409.4,1000
"e18057cz_25.cdf","c12","71;85;99",124871426,711.2,1200
"e18057cz_25.cdf","c15","71;85;99",175246103,1114.6,1500
"e18057cz_25.cdf","c17","71;85;99",195951229,1322.2,1700
"e18057cz_25.cdf","c19","71;85;99",221706771,1499.4,1900
"e18057cz_25.cdf","c22","71;85;99",186720266,1682.8,2200
"e18057cz_25.cdf","c28","71;85;99",163176061,1933.4,2800
"e18057cz_25.cdf","c32","71;85;99",129804792,2067.8,3200
"e18057cz_25.cdf","c36","71;85;99",108511576,2251.4,3600
"e18057cz_26.cdf","c10","71;85;99",165432162,409.6,1000
"e18057cz_26.cdf","c12","71;85;99",122824795,711.2,1200
"e18057cz_26.cdf","c15","71;85;99",175097623,1114.6,1500
"e18057cz_26.cdf","c17","71;85;99",197913396,1322.2,1700
"e18057cz_26.cdf","c19","71;85;99",215071793,1499.4,1900
"e18057cz_26.cdf","c22","71;85;99",185896225,1682.8,2200
"e18057cz_26.cdf","c28","71;85;99",155630061,1933.4,2800
"e18057cz_26.cdf","c32","71;85;99",128894911,2067.8,3200
"e18057cz_26.cdf","c36","71;85;99",106767613,2251.4,3600
"e18057cz_27.cdf","c10","71;85;99",168238613,409.8,1000
"e18057cz_27.cdf","c12","71;85;99",122976465,711.2,1200
"e18057cz_27.cdf","c15","71;85;99",176506658,1114.4,1500
"e18057cz_27.cdf","c17","71;85;99",208765673,1322.2,1700
"e18057cz_27.cdf","c19","71;85;99",242302912,1499.4,1900
"e18057cz_27.cdf","c22","71;85;99",203026925,1682.6,2200
"e18057cz_27.cdf","c28","71;85;99",187265714,1933.4,2800
"e18057cz_27.cdf","c32","71;85;99",128461964,2067.6,3200
"e18057cz_27.cdf","c36","71;85;99",102037528,2251.2,3600
"e18057cz_28.cdf","c10","71;85;99",157085616,409.8,1000
"e18057cz_28.cdf","c12","71;85;99",116231883,711.2,1200
"e18057cz_28.cdf","c15","71;85;99",148874201,1114.6,1500
"e18057cz_28.cdf","c17","71;85;99",144423339,1322.2,1700
"e18057cz_28.cdf","c19","71;85;99",163494592,1499.2,1900
"e18057cz_28.cdf","c22","71;85;99",151399864,1682.6,2200
"e18057cz_28.cdf","c28","71;85;99",128304509,1933.2,2800
"e18057cz_28.cdf","c32","71;85;99",116006222,2067.6,3200
"e18057cz_28.cdf","c36","71;85;99",114831951,2251.2,3600
"e18057cz_30.cdf","c10","71;85;99",166707078,409.8,1000
"e18057cz_30.cdf","c12","71;85;99",126165522,711.2,1200
"e18057cz_30.cdf","c15","71;85;99",174446927,1114.6,1500
"e18057cz_30.cdf","c17","71;85;99",196766535,1322.4,1700
"e18057cz_30.cdf","c19","71;85;99",226553204,1499.4,1900
"e18057cz_30.cdf","c22","71;85;99",187070768,1682.8,2200
"e18057cz_30.cdf","c28","71;85;99",167482399,1933.4,2800
"e18057cz_30.cdf","c32","71;85;99",133180827,2067.8,3200
"e18057cz_30.cdf","c36","71;85;99",110675995,2251.4,3600
"e18057cz_32.cdf","c10","71;85;99",176664591,409.6,1000
"e18057cz_32.cdf","c12","71;85;99",138945973,711,1200
"e18057cz_32.cdf","c15","71;85;99",262891732,1114.6,1500
"e18057cz_32.cdf","c17","71;85;99",294132968,1322.2,1700
"e18057cz_32.cdf","c19","71;85;99",289074385,1499.6,1900
"e18057cz_32.cdf","c22","71;85;99",234381746,1682.8,2200
"e18057cz_32.cdf","c28","71;85;99",175927440,1933.4,2800
"e18057cz_32.cdf","c32","71;85;99",158904134,2067.8,3200
"e18057cz_32.cdf","c36","71;85;99",149133453,2251.4,3600
"e18057cz_33.cdf","c10","71;85;99",165815527,409.8,1000
"e18057cz_33.cdf","c12","71;85;99",137597978,711,1200
"e18057cz_33.cdf","c15","71;85;99",209165583,1114.6,1500
"e18057cz_33.cdf","c17","71;85;99",228141939,1322.4,1700
"e18057cz_33.cdf","c19","71;85;99",243295009,1499.4,1900
"e18057cz_33.cdf","c22","71;85;99",201565558,1682.8,2200
"e18057cz_33.cdf","c28","71;85;99",176102431,1933.4,2800
"e18057cz_33.cdf","c32","71;85;99",143937606,2067.8,3200
"e18057cz_33.cdf","c36","71;85;99",135984959,2251.2,3600
"e18057cz_34.cdf","c10","71;85;99",149683585,409.2,1000
"e18057cz_34.cdf","c12","71;85;99",117198816,710.8,1200
"e18057cz_34.cdf","c15","71;85;99",168132519,1114.4,1500
"e18057cz_34.cdf","c17","71;85;99",190045069,1322.4,1700
"e18057cz_34.cdf","c19","71;85;99",249133861,1499.6,1900
"e18057cz_34.cdf","c22","71;85;99",178330497,1682.8,2200
"e18057cz_34.cdf","c28","71;85;99",146341510,1933.2,2800
"e18057cz_34.cdf","c32","71;85;99",122499365,2067.6,3200
"e18057cz_34.cdf","c36","71;85;99",102743302,2251.2,3600
"e18057cz_35.cdf","c10","71;85;99",171886897,409.4,1000
"e18057cz_35.cdf","c12","71;85;99",131447766,711,1200
"e18057cz_35.cdf","c15","71;85;99",190728004,1114.6,1500
"e18057cz_35.cdf","c17","71;85;99",215457636,1322.2,1700
"e18057cz_35.cdf","c19","71;85;99",258934430,1499.6,1900
"e18057cz_35.cdf","c22","71;85;99",205378143,1682.8,2200
"e18057cz_35.cdf","c28","71;85;99",164823689,1933.4,2800
"e18057cz_35.cdf","c32","71;85;99",138095883,2067.6,3200
"e18057cz_35.cdf","c36","71;85;99",114286098,2251.2,3600
"e18057cz_37.cdf","c10","71;85;99",169324410,409.8,1000
"e18057cz_37.cdf","c12","71;85;99",128267657,711.2,1200
"e18057cz_37.cdf","c15","71;85;99",188465882,1114.6,1500
"e18057cz_37.cdf","c17","71;85;99",216472518,1322.4,1700
"e18057cz_37.cdf","c19","71;85;99",252458300,1499.6,1900
"e18057cz_37.cdf","c22","71;85;99",210149695,1682.8,2200
"e18057cz_37.cdf","c28","71;85;99",169298570,1933.4,2800
"e18057cz_37.cdf","c32","71;85;99",136855308,2067.8,3200
"e18057cz_37.cdf","c36","71;85;99",113271148,2251.2,3600
"e18057cz_38.cdf","c10","71;85;99",172032482,409.8,1000
"e18057cz_38.cdf","c12","71;85;99",128361233,711,1200
"e18057cz_38.cdf","c15","71;85;99",5208405,1098.6,1500
"e18057cz_38.cdf","c17","71;85;99",216973427,1322.4,1700
"e18057cz_38.cdf","c19","71;85;99",248738479,1499.4,1900
"e18057cz_38.cdf","c22","71;85;99",206955317,1682.8,2200
"e18057cz_38.cdf","c28","71;85;99",167494049,1933.2,2800
"e18057cz_38.cdf","c32","71;85;99",138245439,2067.6,3200
"e18057cz_38.cdf","c36","71;85;99",114186881,2251.4,3600
"e18057cz_39.cdf","c10","71;85;99",174440019,409.6,1000
"e18057cz_39.cdf","c12","71;85;99",130153402,710.6,1200
"e18057cz_39.cdf","c15","71;85;99",186573258,1113.8,1500
"e18057cz_39.cdf","c17","71;85;99",209274535,1321.4,1700
"e18057cz_39.cdf","c19","71;85;99",234096043,1498.2,1900
"e18057cz_39.cdf","c22","71;85;99",195174382,1682,2200
"e18057cz_39.cdf","c28","71;85;99",169530845,1932.8,2800
"e18057cz_39.cdf","c32","71;85;99",139626040,2067.2,3200
"e18057cz_39.cdf","c36","71;85;99",118594539,2250,3600
"e18057cz_40.cdf","c10","71;85;99",174841669,409.8,1000
"e18057cz_40.cdf","c12","71;85;99",130359166,711,1200
"e18057cz_40.cdf","c15","71;85;99",190862313,1114.6,1500
"e18057cz_40.cdf","c17","71;85;99",219127809,1322.4,1700
"e18057cz_40.cdf","c19","71;85;99",267181271,1499.6,1900
"e18057cz_40.cdf","c22","71;85;99",208912434,1682.8,2200
"e18057cz_40.cdf","c28","71;85;99",179935438,1933.4,2800
"e18057cz_40.cdf","c32","71;85;99",138983753,2067.8,3200
"e18057cz_40.cdf","c36","71;85;99",117200339,2251.2,3600
"e18057cz_41.cdf","c10","71;85;99",169978096,408.6,1000
"e18057cz_41.cdf","c12","71;85;99",125567170,711,1200
"e18057cz_41.cdf","c15","71;85;99",183687496,1114.8,1500
"e18057cz_41.cdf","c17","71;85;99",209837367,1322.4,1700
"e18057cz_41.cdf","c19","71;85;99",258244074,1499.6,1900
"e18057cz_41.cdf","c22","71;85;99",200012887,1682.8,2200
"e18057cz_41.cdf","c28","71;85;99",147640970,1933.4,2800
"e18057cz_41.cdf","c32","71;85;99",131603797,2067.8,3200
"e18057cz_41.cdf","c36","71;85;99",112962439,2251.4,3600
"e18057cz_44.cdf","c10","71;85;99",170587964,409.8,1000
"e18057cz_44.cdf","c12","71;85;99",130763328,711,1200
"e18057cz_44.cdf","c15","71;85;99",212092816,1114.4,1500
"e18057cz_44.cdf","c17","71;85;99",268168957,1322.4,1700
"e18057cz_44.cdf","c19","71;85;99",265522416,1499.6,1900
"e18057cz_44.cdf","c22","71;85;99",221578199,1682.8,2200
"e18057cz_44.cdf","c28","71;85;99",179633900,1933.2,2800
